Codice_IPA,Denominazione_ente,Tipologia,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
2FE009RQ,AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE DI TRIESTE,Gestori di Pubblici Servizi,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
5GOPE0AP,Consiglio di Amministrazione del Consorzio per la Valorizzazione del Porto Vecchio URSUS,Gestori di Pubblici Servizi,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
7JD299SA,Diocesi San Marco Argentano-Scalea,Stazioni Appaltanti,WordPress,"Angular,React,jQuery",WordPress,Bootstrap,high,24,28,43
CCDFRIU,Comunita' Collinare Del Friuli,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
CMF64,Unione Montana Feltrina,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
CML67,Comunita' Montana della Lessinia,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
C_H038,Comune di Preone,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
C_L402,Comune di Trevignano,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
Cocopibl,Consorzio dei Comuni del Bacino Imbrifero Montano del Piave  appartenenti  alla Provincia di Belluno,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
KH5RHFCV,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,Pubbliche Amministrazioni,Drupal,"Angular,React,jQuery",Drupal,Bootstrap,high,25,68,62
QSIYMTJK,POLESINE TLC SRL,Gestori di Pubblici Servizi,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
SPABDOMM,"Magnifica Comunità di Montagna Dolomiti Friulane, Cavallo e Cansiglio",Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
UCRLHKVQ,GESTIONE AMBIENTE SPA,Gestori di Pubblici Servizi,Angular,React,,,medium,7,4,13
ZS1M7716,GESTORE DEI MERCATI ENERGETICI SPA,Stazioni Appaltanti,ASP.NET,"Angular,React,jQuery",,Bootstrap,high,20,18,35
acr_rm,Automobile Club Roma,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap,medium,26,8,18
acto,Automobile Club Torino,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap,medium,27,7,18
aous_063,Azienda Ospedaliera Universitaria - Universita'  degli Studi della Campania Luigi Vanvitelli,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,4,3,7
apsp_gc,Azienda Pubblica di Servizi alla Persona Giovanni Chiaba' di San Giorgio di Nogaro,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
apspd_,Azienda Pubblica di Servizi alla Persona Daniele Moro,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
apspfm,Azienda Pubblica di Servizi alla Persona Fondazione E. Muner De Giudici,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
apspu,AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA UMBERTO I,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
arid_027,Azienda Regionale per Il Diritto allo Studio Universitario di Venezia,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
aru2019,AGENZIA REGIONALE UNIVERSIADI PER LO SPORT,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,9,1,11
avpisp,Agenzia Veneta per L'Innovazione nel Settore Primario - Avisp,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
c_a346,Comune di Aquileia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_b962,Comune di Scandicci,Pubbliche Amministrazioni,Drupal,"Angular,React,jQuery",Drupal,Bootstrap Italia,high,4,3,12
c_c342,Comune di Enna,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,high,4,1,8
c_d299,Comune di Dicomano,Pubbliche Amministrazioni,Drupal,"Angular,React,jQuery",Drupal,Bootstrap Italia,high,3,4,11
c_d300,Comune di Dignano,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d316,Comune di Dogna,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d324,Comune di San Dorligo della Valle - Dolina,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d325,Comune di Dolo,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_d366,Comune di Drenchia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d383,Comune di Duino-Aurisina/Devin Nabrezina,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d408,Comune di Enemonzo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d426,Comune di Erto e Casso,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d442,Comune di Este,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_d455,Comune di Faedis,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d461,Comune di Fagagna,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d487,Comune di Fanna,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
