_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3,013E014U,Giochi24 S.r.l.,Gestori di Pubblici Servizi,error,,,,,low,0,0,0
4,01X13U84,IC 1 G. MARCONI-DIANO,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,13,13,9
6,02IKT4NA,SAN LEO 2000 SERVIZI TURISTICI SRL,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,Elementor,high,31,36,50
7,02ZMKEL0,CESENATICO SERVIZI S.R.L.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,17,10,8
8,03YBQ4C7,Ordine provinciale della professione sanitaria di fisioterapista di Siena,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap,high,19,9,24
9,044QEGSD,G.A.L. Montagne Biellesi soc.cons. a r.l.,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,Bootstrap,high,71,10,91
10,048X8EU7,BITRIGAS SRL,Gestori di Pubblici Servizi,ok,WordPress,ASP.NET,WordPress,Elementor,high,15,26,10
11,04UY8I1H,Istituto Comprensivo Statale TITO LIVIO - FIORELLI,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,22,12,35
12,054,Azienda Unita' Sanitaria Locale Umbria 1,Pubbliche Amministrazioni,ok,WordPress,"jQuery,React",WordPress,Bootstrap Italia,high,28,14,33
13,055,Azienda Unita' Sanitaria Locale Umbria 2,Pubbliche Amministrazioni,ok,ASP.NET,jQuery,,,high,11,4,15
14,056,Azienda Unita' Sanitaria Locale Viterbo,Pubbliche Amministrazioni,ok,,Laravel,,,low,10,5,1
15,058,Azienda Sanitaria Locale Roma 5,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Elementor,high,40,56,9
16,05GYSWFH,Fondazione di partecipazione Casa dell'Ospitalità,Societa' in Conto Economico Consolidato,ok,WordPress,,WordPress,Elementor,high,25,30,10
17,05O3YE9M,IIS C. COLOMBO,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,11,10,16
18,05O9EJDW,CAPITALE LAVORO SPA,Stazioni Appaltanti,ok,Drupal,,Drupal,Bootstrap,high,33,64,6
19,05TY94LO,MONZA MOBILITA' S.R.L.,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,Elementor,high,21,33,32
20,07WB8QXR,DOGRE S.R.L.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Bootstrap,high,1,3,5
21,080,Azienda Sanitaria Provinciale N. 5 di Reggio Calabria,Pubbliche Amministrazioni,ok,,jQuery,,Bootstrap Italia,low,7,5,4
22,085AGQ61,"Istituto Comprensivo ""F.U. della Torre - Livio Verni""",Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,11,10,3
23,08RQFFO1,"ISTITUTO COMPRENSIVO ""RITA LEVI MONTALCINI""",Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,11,34,22
24,092,ARNAS G. Brotzu,Pubbliche Amministrazioni,ok,,,,,low,5,3,0
25,093,Azienda Sanitaria Friuli Occidentale,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,8,6,14
26,0AIQ5Z0T,Servizi Ambientali Provincia di Rieti s.r.l.,Stazioni Appaltanti,ok,WordPress,,WordPress,"Elementor,Bootstrap",high,18,23,10
28,0BLX4BBP,INVESTIMENTI SPA,Stazioni Appaltanti,ok,WordPress,"Drupal,React,jQuery",WordPress,Elementor,high,27,52,52
29,0D7QKFH5,PARCAM SERVIZI S.R.L.,Stazioni Appaltanti,ok,,"React,jQuery",,Bootstrap Italia,low,16,2,9
