kind,rank,name,count,share_pct
framework,1,WordPress,9157,40.09
framework,2,ASP.NET,1846,8.08
framework,3,Laravel,1002,4.39
framework,4,Joomla,819,3.59
framework,5,Drupal,507,2.22
framework,6,Angular,244,1.07
framework,7,Liferay,83,0.36
framework,8,React,46,0.2
framework,9,Django,35,0.15
framework,10,Next.js,22,0.1
framework,11,Vue,11,0.05
framework,12,Nuxt,7,0.03
framework,13,Blazor,5,0.02
framework,14,Alpine.js,1,0.0
secondary_framework,1,jQuery,14260,62.44
secondary_framework,2,React,11458,50.17
secondary_framework,3,Joomla,947,4.15
secondary_framework,4,Laravel,854,3.74
secondary_framework,5,WordPress,805,3.52
secondary_framework,6,Drupal,345,1.51
secondary_framework,7,ASP.NET,125,0.55
secondary_framework,8,Vue,122,0.53
secondary_framework,9,Alpine.js,106,0.46
secondary_framework,10,Angular,20,0.09
secondary_framework,11,Django,15,0.07
secondary_framework,12,Nuxt,11,0.05
secondary_framework,13,Next.js,11,0.05
secondary_framework,14,Stimulus,7,0.03
secondary_framework,15,Liferay,6,0.03
cms,1,WordPress,9174,40.17
cms,2,Joomla,820,3.59
cms,3,Drupal,507,2.22
cms,4,Liferay,83,0.36
ui_framework,1,Bootstrap Italia,13642,59.73
ui_framework,2,Bootstrap,2394,10.48
ui_framework,3,Elementor,704,3.08
ui_framework,4,UIkit,50,0.22
ui_framework,5,Foundation,48,0.21
ui_framework,6,Tailwind CSS,36,0.16
