kind,rank,name,count,share_pct
framework,1,WordPress,9047,39.61
framework,2,React,5356,23.45
framework,3,Bootstrap Italia,3196,13.99
framework,4,jQuery,1042,4.56
framework,5,Drupal,183,0.8
framework,6,Bootstrap,172,0.75
framework,7,Joomla,156,0.68
framework,8,Liferay,93,0.41
framework,9,Vue,26,0.11
framework,10,Next.js,22,0.1
framework,11,Angular,2,0.01
framework,12,Nuxt,2,0.01
framework,13,Alpine.js,1,0.0
secondary_framework,1,jQuery,13321,58.33
secondary_framework,2,React,10777,47.19
secondary_framework,3,Bootstrap Italia,10464,45.82
secondary_framework,4,Bootstrap,2283,10.0
secondary_framework,5,Joomla,1610,7.05
secondary_framework,6,Vue,1148,5.03
secondary_framework,7,WordPress,352,1.54
secondary_framework,8,Drupal,308,1.35
secondary_framework,9,Angular,275,1.2
secondary_framework,10,Alpine.js,107,0.47
secondary_framework,11,Liferay,11,0.05
secondary_framework,12,Stimulus,7,0.03
secondary_framework,13,Nuxt,6,0.03
secondary_framework,14,Blazor,5,0.02
secondary_framework,15,Next.js,1,0.0
cms,1,WordPress,9185,40.22
cms,2,Joomla,813,3.56
cms,3,Drupal,539,2.36
cms,4,Liferay,153,0.67
